Date,Consensual,Disturbance,Other,Property,Violent,White-Collar
2015-04-13,71.0,13.0,55.0,326.0,201.0,66.0
2015-04-14,93.0,14.0,49.0,341.0,217.0,50.0
2015-04-15,80.0,6.0,67.0,353.0,199.0,92.0
2015-04-16,90.0,10.0,45.0,309.0,191.0,38.0
2015-04-17,102.0,11.0,45.0,364.0,209.0,53.0
2015-04-18,94.0,12.0,41.0,366.0,217.0,36.0
2015-04-19,81.0,10.0,43.0,330.0,218.0,20.0
2015-04-20,94.0,8.0,51.0,336.0,195.0,58.0
2015-04-21,92.0,8.0,53.0,306.0,162.0,40.0
2015-04-22,79.0,12.0,42.0,313.0,192.0,44.0
2015-04-23,83.0,13.0,65.0,330.0,192.0,47.0
2015-04-24,76.0,10.0,44.0,368.0,216.0,46.0
2015-04-25,77.0,13.0,43.0,323.0,185.0,54.0
2015-04-26,68.0,12.0,43.0,327.0,237.0,29.0
2015-04-27,53.0,10.0,39.0,350.0,216.0,51.0
2015-04-28,70.0,13.0,47.0,334.0,210.0,44.0
2015-04-29,83.0,14.0,52.0,360.0,204.0,51.0
2015-04-30,80.0,8.0,47.0,314.0,168.0,46.0
2015-05-01,83.0,15.0,66.0,398.0,256.0,106.0
2015-05-02,58.0,3.0,39.0,312.0,233.0,39.0
2015-05-03,40.0,10.0,46.0,354.0,273.0,22.0
2015-05-04,76.0,8.0,59.0,333.0,254.0,46.0
2015-05-05,73.0,10.0,66.0,315.0,184.0,47.0
2015-05-06,81.0,17.0,71.0,338.0,191.0,39.0
2015-05-07,107.0,19.0,44.0,346.0,262.0,41.0
2015-05-08,77.0,10.0,65.0,374.0,238.0,41.0
2015-05-09,85.0,13.0,34.0,311.0,207.0,35.0
2015-05-10,70.0,7.0,52.0,357.0,224.0,30.0
2015-05-11,82.0,15.0,52.0,331.0,218.0,44.0
2015-05-12,88.0,11.0,56.0,344.0,204.0,53.0
2015-05-13,81.0,17.0,54.0,361.0,206.0,48.0
2015-05-14,93.0,4.0,65.0,358.0,195.0,41.0
2015-05-15,107.0,18.0,56.0,344.0,250.0,43.0
2015-05-16,75.0,6.0,57.0,403.0,295.0,45.0
2015-05-17,91.0,22.0,48.0,372.0,274.0,28.0
2015-05-18,80.0,15.0,64.0,327.0,227.0,42.0
2015-05-19,77.0,8.0,76.0,321.0,193.0,31.0
2015-05-20,78.0,11.0,57.0,339.0,203.0,38.0
2015-05-21,86.0,11.0,71.0,326.0,203.0,46.0
2015-05-22,100.0,8.0,55.0,396.0,221.0,42.0
2015-05-23,81.0,15.0,47.0,400.0,218.0,36.0
