Date,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-07-15,6.0,19.0,443.0,176.0,18.0,662.0
2015-07-16,6.0,20.0,332.0,135.0,19.0,512.0
2015-07-17,6.0,22.0,389.0,179.0,15.0,611.0
2015-07-18,5.0,13.0,328.0,167.0,10.0,523.0
2015-07-19,6.0,18.0,348.0,215.0,4.0,591.0
2015-07-20,2.0,28.0,418.0,174.0,18.0,640.0
2015-07-21,5.0,25.0,387.0,167.0,21.0,605.0
2015-07-22,3.0,24.0,358.0,177.0,24.0,586.0
2015-07-23,6.0,18.0,387.0,170.0,15.0,596.0
2015-07-24,5.0,26.0,383.0,160.0,12.0,586.0
2015-07-25,1.0,12.0,405.0,200.0,12.0,630.0
2015-07-26,6.0,13.0,363.0,224.0,8.0,614.0
2015-07-27,1.0,23.0,419.0,187.0,18.0,648.0
2015-07-28,1.0,22.0,422.0,157.0,10.0,612.0
2015-07-29,7.0,23.0,419.0,151.0,14.0,614.0
2015-07-30,8.0,18.0,392.0,175.0,16.0,609.0
2015-07-31,5.0,15.0,441.0,184.0,12.0,657.0
2015-08-01,3.0,36.0,525.0,274.0,25.0,863.0
2015-08-02,4.0,18.0,399.0,193.0,9.0,623.0
2015-08-03,9.0,21.0,422.0,158.0,18.0,628.0
2015-08-04,2.0,17.0,386.0,144.0,20.0,569.0
2015-08-05,7.0,13.0,404.0,174.0,21.0,619.0
2015-08-06,3.0,22.0,371.0,178.0,22.0,596.0
2015-08-07,4.0,15.0,399.0,138.0,16.0,572.0
2015-08-08,3.0,15.0,342.0,187.0,10.0,557.0
2015-08-09,10.0,11.0,333.0,178.0,7.0,539.0
2015-08-10,3.0,25.0,382.0,152.0,18.0,580.0
2015-08-11,7.0,10.0,328.0,163.0,14.0,522.0
2015-08-12,6.0,22.0,381.0,161.0,16.0,586.0
2015-08-13,9.0,12.0,381.0,145.0,9.0,556.0
2015-08-14,4.0,14.0,419.0,133.0,18.0,588.0
2015-08-15,4.0,27.0,420.0,193.0,15.0,659.0
2015-08-16,8.0,18.0,374.0,185.0,7.0,592.0
2015-08-17,6.0,22.0,405.0,156.0,11.0,600.0
2015-08-18,5.0,21.0,328.0,171.0,24.0,549.0
2015-08-19,6.0,23.0,387.0,175.0,20.0,611.0
2015-08-20,5.0,17.0,402.0,195.0,18.0,637.0
2015-08-21,5.0,28.0,414.0,174.0,14.0,635.0
2015-08-22,9.0,13.0,397.0,210.0,10.0,639.0
2015-08-23,3.0,14.0,358.0,203.0,7.0,585.0
2015-08-24,1.0,21.0,423.0,170.0,18.0,633.0
2015-08-25,,14.0,411.0,175.0,16.0,
2015-08-26,1.0,18.0,394.0,156.0,15.0,584.0
2015-08-27,3.0,16.0,359.0,170.0,15.0,563.0
2015-08-28,5.0,17.0,399.0,186.0,23.0,630.0
2015-08-29,9.0,17.0,377.0,219.0,12.0,634.0
2015-08-30,13.0,13.0,315.0,205.0,9.0,555.0
2015-08-31,6.0,20.0,388.0,153.0,27.0,594.0
2015-09-01,3.0,34.0,544.0,212.0,24.0,817.0
2015-09-02,4.0,16.0,349.0,141.0,19.0,529.0
2015-09-03,9.0,24.0,384.0,151.0,25.0,593.0
2015-09-04,7.0,18.0,419.0,144.0,15.0,603.0
2015-09-05,4.0,27.0,374.0,168.0,15.0,588.0
2015-09-06,2.0,12.0,312.0,194.0,7.0,527.0
2015-09-07,1.0,13.0,324.0,211.0,9.0,558.0
2015-09-08,5.0,22.0,361.0,165.0,18.0,571.0
2015-09-09,6.0,13.0,342.0,184.0,15.0,560.0
2015-09-10,7.0,17.0,373.0,184.0,15.0,596.0
2015-09-11,8.0,31.0,405.0,207.0,15.0,666.0
2015-09-12,7.0,14.0,330.0,197.0,17.0,565.0
2015-09-13,4.0,18.0,357.0,215.0,10.0,604.0
2015-09-14,2.0,18.0,393.0,156.0,17.0,586.0
2015-09-15,8.0,23.0,434.0,153.0,14.0,632.0
2015-09-16,5.0,16.0,392.0,138.0,19.0,570.0
2015-09-17,1.0,22.0,383.0,158.0,13.0,577.0
2015-09-18,5.0,21.0,448.0,167.0,21.0,662.0
2015-09-19,3.0,11.0,343.0,194.0,13.0,564.0
2015-09-20,4.0,14.0,365.0,240.0,15.0,638.0
2015-09-21,3.0,18.0,348.0,188.0,17.0,574.0
2015-09-22,2.0,20.0,394.0,162.0,7.0,585.0
2015-09-23,7.0,20.0,377.0,166.0,19.0,589.0
2015-09-24,6.0,15.0,404.0,188.0,14.0,627.0
2015-09-25,7.0,18.0,410.0,190.0,13.0,638.0
2015-09-26,4.0,30.0,380.0,216.0,16.0,646.0
2015-09-27,5.0,22.0,327.0,204.0,7.0,565.0
2015-09-28,5.0,21.0,379.0,183.0,13.0,601.0
2015-09-29,8.0,17.0,383.0,163.0,19.0,590.0
2015-09-30,7.0,16.0,403.0,173.0,23.0,622.0
2015-10-01,7.0,34.0,522.0,209.0,25.0,797.0
2015-10-02,4.0,18.0,399.0,159.0,10.0,590.0
2015-10-03,5.0,20.0,397.0,212.0,18.0,652.0
2015-10-04,6.0,14.0,301.0,202.0,9.0,532.0
2015-10-05,8.0,22.0,401.0,140.0,13.0,584.0
2015-10-06,3.0,17.0,343.0,159.0,21.0,543.0
2015-10-07,4.0,25.0,350.0,160.0,23.0,562.0
2015-10-08,5.0,16.0,387.0,192.0,16.0,616.0
2015-10-09,7.0,19.0,410.0,179.0,12.0,627.0
2015-10-10,2.0,17.0,400.0,211.0,15.0,645.0
2015-10-11,4.0,12.0,351.0,213.0,7.0,587.0
2015-10-12,5.0,16.0,374.0,184.0,18.0,597.0
2015-10-13,5.0,11.0,361.0,183.0,16.0,576.0
2015-10-14,8.0,23.0,383.0,161.0,16.0,591.0
2015-10-15,6.0,27.0,490.0,190.0,13.0,726.0
2015-10-16,5.0,16.0,491.0,171.0,13.0,696.0
2015-10-17,8.0,18.0,411.0,223.0,10.0,670.0
2015-10-18,1.0,19.0,354.0,185.0,10.0,569.0
2015-10-19,3.0,16.0,394.0,159.0,13.0,585.0
2015-10-20,4.0,11.0,434.0,173.0,12.0,634.0
2015-10-21,5.0,12.0,400.0,124.0,11.0,552.0
2015-10-22,7.0,12.0,343.0,160.0,10.0,532.0
2015-10-23,4.0,21.0,416.0,162.0,18.0,621.0
2015-10-24,6.0,18.0,339.0,193.0,7.0,563.0
2015-10-25,5.0,21.0,359.0,205.0,15.0,605.0
2015-10-26,4.0,14.0,408.0,136.0,14.0,576.0
2015-10-27,1.0,18.0,399.0,162.0,16.0,596.0
2015-10-28,5.0,25.0,394.0,157.0,17.0,598.0
2015-10-29,6.0,20.0,383.0,146.0,15.0,570.0
2015-10-30,4.0,25.0,414.0,150.0,9.0,602.0
2015-10-31,9.0,19.0,472.0,223.0,10.0,733.0
2015-11-01,5.0,37.0,546.0,283.0,27.0,898.0
2015-11-02,3.0,14.0,364.0,144.0,21.0,546.0
2015-11-03,,10.0,375.0,113.0,12.0,
2015-11-04,6.0,15.0,330.0,154.0,20.0,525.0
2015-11-05,5.0,18.0,350.0,130.0,17.0,520.0
2015-11-06,7.0,13.0,408.0,150.0,11.0,589.0
2015-11-07,2.0,18.0,360.0,141.0,7.0,528.0
2015-11-08,2.0,22.0,322.0,172.0,12.0,530.0
2015-11-09,7.0,10.0,416.0,117.0,18.0,568.0
2015-11-10,,15.0,374.0,112.0,16.0,
2015-11-11,2.0,16.0,349.0,112.0,12.0,491.0
2015-11-12,6.0,16.0,372.0,134.0,15.0,543.0
2015-11-13,8.0,14.0,435.0,130.0,19.0,606.0
2015-11-14,3.0,17.0,399.0,147.0,13.0,579.0
2015-11-15,4.0,14.0,418.0,200.0,12.0,648.0
2015-11-16,6.0,16.0,384.0,170.0,23.0,599.0
2015-11-17,4.0,21.0,375.0,126.0,18.0,544.0
2015-11-18,4.0,17.0,370.0,174.0,16.0,581.0
2015-11-19,8.0,14.0,368.0,159.0,11.0,560.0
2015-11-20,5.0,17.0,466.0,148.0,18.0,654.0
2015-11-21,4.0,13.0,403.0,162.0,7.0,589.0
2015-11-22,7.0,17.0,386.0,181.0,13.0,604.0
2015-11-23,4.0,15.0,418.0,140.0,23.0,600.0
2015-11-24,5.0,20.0,377.0,147.0,14.0,563.0
2015-11-25,5.0,6.0,439.0,146.0,15.0,611.0
2015-11-26,1.0,14.0,284.0,126.0,4.0,429.0
2015-11-27,4.0,11.0,340.0,140.0,16.0,511.0
2015-11-28,,14.0,391.0,159.0,8.0,
2015-11-29,7.0,16.0,338.0,173.0,7.0,541.0
2015-11-30,4.0,17.0,399.0,135.0,14.0,569.0
2015-12-01,4.0,29.0,533.0,208.0,30.0,804.0
2015-12-02,5.0,31.0,347.0,140.0,15.0,538.0
2015-12-03,1.0,21.0,390.0,137.0,16.0,565.0
2015-12-04,,19.0,427.0,158.0,13.0,
2015-12-05,6.0,15.0,373.0,160.0,13.0,567.0
2015-12-06,4.0,17.0,399.0,167.0,7.0,594.0
2015-12-07,1.0,18.0,373.0,140.0,16.0,548.0
2015-12-08,3.0,17.0,361.0,148.0,9.0,538.0
2015-12-09,2.0,24.0,383.0,183.0,19.0,611.0
2015-12-10,4.0,21.0,377.0,159.0,21.0,582.0
2015-12-11,2.0,15.0,439.0,151.0,13.0,620.0
2015-12-12,5.0,9.0,389.0,165.0,11.0,579.0
2015-12-13,3.0,21.0,388.0,182.0,8.0,602.0
2015-12-14,3.0,15.0,364.0,145.0,16.0,543.0
2015-12-15,3.0,22.0,491.0,150.0,21.0,687.0
2015-12-16,9.0,15.0,386.0,129.0,15.0,554.0
2015-12-17,5.0,11.0,346.0,139.0,15.0,516.0
2015-12-18,2.0,13.0,410.0,149.0,22.0,596.0
2015-12-19,1.0,19.0,383.0,171.0,12.0,586.0
2015-12-20,3.0,14.0,410.0,163.0,12.0,602.0
2015-12-21,5.0,13.0,443.0,143.0,14.0,618.0
2015-12-22,3.0,9.0,411.0,128.0,16.0,567.0
2015-12-23,3.0,16.0,451.0,135.0,16.0,621.0
2015-12-24,6.0,13.0,418.0,171.0,13.0,621.0
2015-12-25,8.0,16.0,266.0,166.0,3.0,459.0
2015-12-26,10.0,13.0,343.0,134.0,7.0,507.0
2015-12-27,4.0,17.0,319.0,152.0,7.0,499.0
2015-12-28,3.0,11.0,364.0,135.0,28.0,541.0
2015-12-29,4.0,10.0,362.0,125.0,11.0,512.0
2015-12-30,1.0,8.0,388.0,135.0,13.0,545.0
2015-12-31,8.0,11.0,431.0,150.0,20.0,620.0
2016-01-01,8.0,44.0,707.0,375.0,28.0,1162.0
2016-01-02,4.0,9.0,365.0,137.0,13.0,528.0
2016-01-03,1.0,9.0,316.0,167.0,8.0,501.0
2016-01-04,2.0,15.0,387.0,133.0,22.0,559.0
2016-01-05,1.0,16.0,428.0,147.0,20.0,612.0
2016-01-06,2.0,10.0,356.0,110.0,17.0,495.0
2016-01-07,10.0,16.0,376.0,139.0,14.0,555.0
2016-01-08,7.0,18.0,416.0,136.0,15.0,592.0
2016-01-09,4.0,9.0,386.0,142.0,11.0,552.0
2016-01-10,7.0,15.0,346.0,140.0,5.0,513.0
2016-01-11,6.0,29.0,383.0,158.0,26.0,602.0
2016-01-12,6.0,11.0,355.0,126.0,12.0,510.0
2016-01-13,6.0,21.0,378.0,138.0,12.0,555.0
2016-01-14,4.0,22.0,402.0,127.0,19.0,574.0
2016-01-15,7.0,29.0,498.0,157.0,22.0,713.0
2016-01-16,2.0,15.0,416.0,171.0,19.0,623.0
2016-01-17,3.0,11.0,381.0,182.0,7.0,584.0
2016-01-18,5.0,25.0,399.0,142.0,10.0,581.0
2016-01-19,4.0,11.0,404.0,123.0,21.0,563.0
2016-01-20,9.0,18.0,405.0,157.0,22.0,611.0
2016-01-21,3.0,13.0,449.0,172.0,24.0,661.0
2016-01-22,8.0,21.0,456.0,160.0,16.0,661.0
2016-01-23,6.0,17.0,400.0,167.0,9.0,599.0
2016-01-24,3.0,20.0,378.0,160.0,7.0,568.0
2016-01-25,4.0,19.0,428.0,146.0,21.0,618.0
2016-01-26,4.0,15.0,402.0,140.0,23.0,584.0
2016-01-27,6.0,12.0,369.0,135.0,19.0,541.0
2016-01-28,3.0,22.0,404.0,135.0,19.0,583.0
2016-01-29,5.0,20.0,439.0,179.0,22.0,665.0
2016-01-30,7.0,12.0,392.0,143.0,6.0,560.0
2016-01-31,8.0,11.0,352.0,153.0,8.0,532.0
2016-02-01,7.0,48.0,578.0,182.0,33.0,848.0
2016-02-02,5.0,19.0,416.0,131.0,19.0,590.0
