Date,Temp. (¡F),Events
9/13/15,59,Clear
9/14/15,67,Clear
9/15/15,72,Clear
9/16/15,70,Clear
9/17/15,73,"Rain , Thunderstorm"
9/18/15,70,"Rain , Thunderstorm"
9/19/15,62,"Fog , Rain , Thunderstorm"
9/20/15,62,Clear
9/21/15,63,Clear
9/22/15,67,Clear
9/23/15,69,Clear
9/24/15,66,Clear
9/25/15,67,Clear
9/26/15,68,Clear
9/27/15,68,Clear
9/28/15,71,Clear
9/29/15,62,Rain
9/30/15,57,Clear
10/1/15,56,Clear
10/2/15,56,Clear
10/3/15,51,Rain
10/4/15,54,Clear
10/5/15,58,Clear
10/6/15,63,Clear
10/7/15,63,Clear
10/8/15,64,Rain
10/9/15,56,Clear
10/10/15,54,Clear
10/11/15,65,Clear
10/12/15,64,Clear
10/13/15,55,Clear
10/14/15,53,Clear
10/15/15,58,Rain
10/16/15,46,Clear
10/17/15,43,Clear
10/18/15,47,Clear
10/19/15,60,Clear
10/20/15,66,Rain
10/21/15,64,Rain
10/22/15,57,Clear
10/23/15,58,Rain
10/24/15,56,Rain
10/25/15,52,Clear
10/26/15,49,Clear
10/27/15,53,Rain
10/28/15,47,Rain
10/29/15,42,Clear
10/30/15,46,Clear
10/31/15,49,Rain
11/1/15,54,Clear
11/2/15,60,Clear
11/3/15,57,Clear
11/4/15,60,Fog
11/5/15,65,Rain
11/6/15,53,Rain
11/7/15,44,Clear
11/8/15,40,Clear
11/9/15,43,Clear
11/10/15,44,Clear
11/11/15,50,"Rain , Thunderstorm"
11/12/15,49,Rain
11/13/15,40,Clear
11/14/15,41,Clear
11/15/15,54,Clear
11/16/15,50,Rain
11/17/15,54,Rain
11/18/15,55,Rain
11/19/15,41,Clear
11/20/15,36,"Fog , Snow"
11/21/15,26,"Fog , Snow"
11/22/15,17,Clear
11/23/15,31,Clear
11/24/15,31,Clear
11/25/15,41,Clear
11/26/15,54,Rain
11/27/15,45,Rain
11/28/15,34,Clear
11/29/15,33,Clear
11/30/15,41,Rain
12/1/15,40,"Rain , Thunderstorm"
12/2/15,35,"Fog , Rain , Snow"
12/3/15,33,Clear
12/4/15,40,Clear
12/5/15,38,Fog
12/6/15,37,Clear
12/7/15,33,"Fog , Snow"
12/8/15,43,Clear
12/9/15,46,Clear
12/10/15,49,Clear
12/11/15,46,Clear
12/12/15,52,"Fog , Rain"
12/13/15,55,"Fog , Rain"
12/14/15,52,Rain
12/15/15,41,Rain
12/16/15,44,Rain
12/17/15,32,Clear
12/18/15,28,Snow
12/19/15,23,Clear
12/20/15,37,Rain
12/21/15,47,Rain
12/22/15,38,Clear
