,Date,Temp (F) avg,Event
925,2017-07-14,74,Clear
926,2017-07-15,78,Clear
927,2017-07-16,79,Clear
928,2017-07-17,78,Clear
929,2017-07-18,76,Clear
930,2017-07-19,77,Clear
931,2017-07-20,79,Clear
932,2017-07-21,76,Clear
933,2017-07-22,77,Clear
934,2017-07-23,77,Clear
935,2017-07-24,77,Clear
936,2017-07-25,75,Clear
937,2017-07-26,75,Clear
938,2017-07-27,75,Clear
939,2017-07-28,75,Clear
940,2017-07-29,77,Clear
941,2017-07-30,75,Clear
942,2017-07-31,74,Clear
943,2017-08-01,80,Clear
944,2017-08-02,84,Clear
945,2017-08-03,83,Clear
946,2017-08-04,79,Clear
947,2017-08-05,79,Clear
948,2017-08-06,76,Clear
949,2017-08-07,75,Clear
950,2017-08-08,78,Clear
951,2017-08-09,75,Clear
952,2017-08-10,76,Clear
953,2017-08-11,75,Clear
954,2017-08-12,75,Clear
955,2017-08-13,75,Clear
956,2017-08-14,74,Clear
957,2017-08-15,72,Clear
958,2017-08-16,74,Clear
959,2017-08-17,73,Clear
960,2017-08-18,73,Clear
961,2017-08-19,75,Clear
962,2017-08-20,75,Clear
963,2017-08-21,75,Clear
964,2017-08-22,74,Clear
965,2017-08-23,73,Clear
966,2017-08-24,74,Clear
967,2017-08-25,75,Clear
968,2017-08-26,78,Clear
969,2017-08-27,75,Clear
970,2017-08-28,78,Clear
971,2017-08-29,83,Clear
972,2017-08-30,82,Clear
973,2017-08-31,88,Clear
974,2017-09-01,89,Clear
975,2017-09-02,89,Clear
976,2017-09-03,88,Clear
977,2017-09-04,79,Rain
978,2017-09-05,77,Clear
979,2017-09-06,77,Clear
980,2017-09-07,77,Clear
981,2017-09-08,76,Clear
982,2017-09-09,75,Clear
983,2017-09-10,79,Clear
984,2017-09-11,82,Clear
985,2017-09-12,73,Clear
986,2017-09-13,72,Clear
987,2017-09-14,71,Clear
988,2017-09-15,72,Clear
989,2017-09-16,73,Clear
990,2017-09-17,71,Clear
991,2017-09-18,70,Clear
992,2017-09-19,72,Clear
993,2017-09-20,72,Clear
994,2017-09-21,69,Rain
995,2017-09-22,69,Clear
996,2017-09-23,69,Clear
997,2017-09-24,73,Clear
998,2017-09-25,75,Clear
999,2017-09-26,75,Clear
1000,2017-09-27,74,Clear
1001,2017-09-28,76,Clear
1002,2017-09-29,77,Clear
1003,2017-09-30,73,Clear
1004,2017-10-01,72,Clear
1005,2017-10-02,72,Clear
1006,2017-10-03,71,Clear
1007,2017-10-04,69,Clear
1008,2017-10-05,72,Clear
1009,2017-10-06,76,Clear
1010,2017-10-07,80,Clear
1011,2017-10-08,73,Clear
1012,2017-10-09,76,Clear
1013,2017-10-10,74,Clear
1014,2017-10-11,69,Clear
1015,2017-10-12,71,Clear
1016,2017-10-13,69,Clear
1017,2017-10-14,73,Clear
1018,2017-10-15,79,Clear
1019,2017-10-16,81,Clear
1020,2017-10-17,80,Clear
1021,2017-10-18,77,Clear
1022,2017-10-19,71,Clear
1023,2017-10-20,70,Rain
1024,2017-10-21,69,Clear
1025,2017-10-22,78,Clear
1026,2017-10-23,85,Clear
1027,2017-10-24,86,Clear
1028,2017-10-25,85,Clear
1029,2017-10-26,80,Clear
1030,2017-10-27,75,Clear
1031,2017-10-28,71,Clear
1032,2017-10-29,68,Clear
1033,2017-10-30,67,Clear
1034,2017-10-31,66,Rain
1035,2017-11-01,68,Clear
1036,2017-11-02,64,Clear
1037,2017-11-03,65,Clear
1038,2017-11-04,65,Clear
1039,2017-11-05,65,Rain
1040,2017-11-06,66,Clear
1041,2017-11-07,68,Clear
1042,2017-11-08,67,Clear
1043,2017-11-09,66,Clear
1044,2017-11-10,65,Clear
1045,2017-11-11,64,Clear
1046,2017-11-12,62,Clear
1047,2017-11-13,63,Clear
1048,2017-11-14,66,Clear
1049,2017-11-15,68,Clear
1050,2017-11-16,69,Clear
1051,2017-11-17,67,Rain
1052,2017-11-18,67,Clear
1053,2017-11-19,66,Clear
1054,2017-11-20,62,Clear
1055,2017-11-21,73,Clear
1056,2017-11-22,78,Clear
1057,2017-11-23,78,Clear
1058,2017-11-24,72,Clear
1059,2017-11-25,71,Clear
1060,2017-11-26,65,Clear
1061,2017-11-27,61,Clear
1062,2017-11-28,63,Clear
1063,2017-11-29,64,Clear
1064,2017-11-30,64,Clear
1065,2017-12-01,63,Clear
1066,2017-12-02,64,Clear
1067,2017-12-03,61,Fog
1068,2017-12-04,62,Clear
1069,2017-12-05,58,Clear
1070,2017-12-06,60,Clear
1071,2017-12-07,62,Clear
1072,2017-12-08,63,Clear
1073,2017-12-09,67,Clear
1074,2017-12-10,66,Clear
1075,2017-12-11,67,Clear
1076,2017-12-12,68,Clear
1077,2017-12-13,65,Clear
1078,2017-12-14,62,Clear
1079,2017-12-15,66,Clear
1080,2017-12-16,60,Clear
1081,2017-12-17,60,Clear
1082,2017-12-18,61,Clear
1083,2017-12-19,58,Clear
1084,2017-12-20,54,Rain
1085,2017-12-21,54,Rain
1086,2017-12-22,53,Clear
1087,2017-12-23,57,Clear
1088,2017-12-24,60,Clear
1089,2017-12-25,57,Clear
1090,2017-12-26,57,Clear
1091,2017-12-27,61,Clear
1092,2017-12-28,63,Clear
1093,2017-12-29,68,Clear
1094,2017-12-30,61,Fog
1095,2017-12-31,59,Fog
