Date,Temp (F) avg,Event,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-02-06,65,Clear,7.0,29.0,369.0,159.0,16.0,580.0
2015-02-07,62,Rain,6.0,23.0,368.0,137.0,11.0,545.0
2015-02-08,68,Fog,8.0,14.0,292.0,192.0,12.0,518.0
2015-02-09,66,Fog,11.0,20.0,374.0,145.0,15.0,565.0
2015-02-10,66,Clear,5.0,23.0,355.0,126.0,12.0,521.0
2015-02-11,70,Clear,3.0,28.0,374.0,123.0,13.0,541.0
2015-02-12,71,Clear,4.0,21.0,413.0,154.0,15.0,607.0
2015-02-13,73,Clear,10.0,19.0,432.0,154.0,16.0,631.0
2015-02-14,71,Clear,7.0,26.0,357.0,177.0,6.0,573.0
2015-02-15,67,Clear,4.0,20.0,390.0,168.0,12.0,594.0
2015-02-16,63,Clear,3.0,14.0,385.0,155.0,8.0,565.0
2015-02-17,64,Clear,1.0,15.0,369.0,116.0,13.0,514.0
2015-02-18,65,Clear,5.0,21.0,383.0,136.0,15.0,560.0
2015-02-19,65,Clear,4.0,15.0,378.0,164.0,19.0,580.0
2015-02-20,63,Clear,5.0,13.0,429.0,144.0,13.0,604.0
2015-02-21,63,Clear,6.0,20.0,363.0,149.0,11.0,549.0
2015-02-22,59,"Fog , Rain",7.0,15.0,328.0,164.0,7.0,521.0
2015-02-23,58,Clear,4.0,18.0,351.0,147.0,13.0,533.0
2015-02-24,60,Clear,5.0,26.0,343.0,135.0,16.0,525.0
2015-02-25,62,Clear,5.0,17.0,376.0,120.0,24.0,542.0
2015-02-26,61,Clear,14.0,17.0,370.0,142.0,17.0,560.0
2015-02-27,61,Clear,6.0,26.0,396.0,151.0,18.0,597.0
2015-02-28,59,Rain,3.0,13.0,338.0,156.0,16.0,526.0
2015-03-01,58,Rain,7.0,36.0,508.0,225.0,24.0,800.0
2015-03-02,56,Rain,6.0,6.0,416.0,138.0,19.0,585.0
2015-03-03,58,Clear,,11.0,385.0,141.0,15.0,
2015-03-04,60,Clear,3.0,20.0,334.0,138.0,14.0,509.0
2015-03-05,64,Clear,4.0,21.0,355.0,138.0,14.0,532.0
2015-03-06,66,Clear,10.0,17.0,413.0,150.0,15.0,605.0
2015-03-07,70,Clear,7.0,23.0,363.0,179.0,10.0,582.0
2015-03-08,66,Clear,6.0,16.0,292.0,156.0,5.0,475.0
2015-03-09,65,Clear,10.0,19.0,363.0,150.0,17.0,559.0
2015-03-10,68,Clear,5.0,19.0,368.0,160.0,14.0,566.0
2015-03-11,67,Clear,2.0,14.0,368.0,169.0,22.0,575.0
2015-03-12,71,Clear,3.0,22.0,349.0,147.0,20.0,541.0
2015-03-13,76,Clear,5.0,18.0,369.0,169.0,11.0,572.0
2015-03-14,78,Clear,5.0,14.0,389.0,197.0,14.0,619.0
2015-03-15,79,Clear,10.0,15.0,381.0,191.0,9.0,606.0
2015-03-16,78,Clear,2.0,26.0,377.0,171.0,10.0,586.0
2015-03-17,73,Clear,4.0,20.0,375.0,148.0,17.0,564.0
2015-03-18,69,Rain,4.0,21.0,322.0,150.0,14.0,511.0
2015-03-19,68,Clear,9.0,28.0,338.0,143.0,12.0,530.0
2015-03-20,69,Clear,2.0,23.0,433.0,167.0,14.0,639.0
2015-03-21,69,Clear,5.0,16.0,335.0,188.0,12.0,556.0
2015-03-22,66,Clear,1.0,11.0,347.0,198.0,6.0,563.0
2015-03-23,65,Clear,10.0,11.0,377.0,151.0,12.0,561.0
2015-03-24,67,Clear,1.0,17.0,371.0,173.0,11.0,573.0
2015-03-25,72,Clear,6.0,22.0,369.0,165.0,13.0,575.0
2015-03-26,77,Clear,5.0,16.0,378.0,169.0,13.0,581.0
2015-03-27,77,Clear,7.0,23.0,411.0,171.0,16.0,628.0
2015-03-28,71,Clear,4.0,9.0,354.0,215.0,13.0,595.0
2015-03-29,67,Fog,1.0,9.0,313.0,169.0,7.0,499.0
2015-03-30,68,Clear,7.0,18.0,380.0,136.0,17.0,558.0
2015-03-31,65,Clear,6.0,22.0,380.0,158.0,11.0,577.0
2015-04-01,66,Clear,5.0,34.0,530.0,172.0,31.0,772.0
2015-04-02,65,Clear,9.0,15.0,353.0,136.0,13.0,526.0
2015-04-03,72,Clear,6.0,14.0,406.0,177.0,23.0,626.0
2015-04-04,72,Clear,6.0,15.0,314.0,176.0,11.0,522.0
2015-04-05,64,Clear,5.0,11.0,279.0,191.0,14.0,500.0
2015-04-06,60,Clear,5.0,22.0,324.0,157.0,10.0,518.0
2015-04-07,59,Rain,4.0,20.0,336.0,132.0,16.0,508.0
2015-04-08,60,Clear,4.0,22.0,316.0,127.0,20.0,489.0
2015-04-09,65,Clear,1.0,12.0,351.0,150.0,17.0,531.0
2015-04-10,63,Clear,6.0,22.0,396.0,145.0,15.0,584.0
2015-04-11,63,Clear,7.0,8.0,339.0,181.0,10.0,545.0
2015-04-12,67,Clear,4.0,17.0,319.0,171.0,4.0,515.0
2015-04-13,67,Clear,3.0,27.0,374.0,163.0,15.0,582.0
2015-04-14,66,Clear,6.0,22.0,365.0,139.0,22.0,554.0
