Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-05-02,58,3.0,39,312,233,39,684.0,63,Clear
2015-05-03,40,10.0,46,354,273,22,745.0,67,"Rain , Thunderstorm"
2015-05-04,76,8.0,59,333,254,46,776.0,65,Clear
2015-05-05,73,10.0,66,315,184,47,695.0,52,"Fog , Rain , Thunderstorm"
2015-05-06,81,17.0,71,338,191,39,737.0,62,Fog
2015-05-07,107,19.0,44,346,262,41,819.0,68,Rain
2015-05-08,77,10.0,65,374,238,41,805.0,72,"Rain , Thunderstorm"
2015-05-09,85,13.0,34,311,207,35,685.0,56,"Fog , Rain"
2015-05-10,70,7.0,52,357,224,30,740.0,50,"Fog , Rain"
2015-05-11,82,15.0,52,331,218,44,742.0,58,Rain
2015-05-12,88,11.0,56,344,204,53,756.0,50,Clear
2015-05-13,81,17.0,54,361,206,48,767.0,46,Clear
2015-05-14,93,4.0,65,358,195,41,756.0,55,Rain
2015-05-15,107,18.0,56,344,250,43,818.0,67,Rain
2015-05-16,75,6.0,57,403,295,45,881.0,71,Rain
2015-05-17,91,22.0,48,372,274,28,835.0,74,Rain
2015-05-18,80,15.0,64,327,227,42,755.0,63,Clear
2015-05-19,77,8.0,76,321,193,31,706.0,47,Clear
2015-05-20,78,11.0,57,339,203,38,726.0,44,Rain
2015-05-21,86,11.0,71,326,203,46,743.0,57,Clear
2015-05-22,100,8.0,55,396,221,42,822.0,57,Clear
2015-05-23,81,15.0,47,400,218,36,797.0,63,Clear
2015-05-24,64,8.0,34,321,239,21,687.0,66,Rain
2015-05-25,69,11.0,45,314,243,26,708.0,72,Rain
2015-05-26,85,13.0,53,343,234,39,767.0,69,Rain
2015-05-27,88,13.0,59,336,205,34,735.0,67,Clear
2015-05-28,80,13.0,45,376,241,43,798.0,68,Clear
2015-05-29,108,12.0,57,377,224,47,825.0,72,Rain
2015-05-30,60,7.0,40,366,210,35,718.0,58,Rain
2015-05-31,67,14.0,46,305,196,35,663.0,49,Rain
2015-06-01,77,14.0,79,388,257,115,930.0,52,Clear
2015-06-02,92,11.0,53,335,234,45,770.0,56,Clear
2015-06-03,92,11.0,65,349,205,53,775.0,64,Clear
2015-06-04,84,19.0,46,353,179,39,720.0,69,Clear
2015-06-05,97,11.0,61,358,203,54,784.0,63,Clear
2015-06-06,92,11.0,40,365,206,42,756.0,62,Clear
2015-06-07,70,11.0,54,340,237,26,738.0,68,"Rain , Thunderstorm"
2015-06-08,79,10.0,46,312,193,42,682.0,73,"Rain , Hail , Thunderstorm"
2015-06-09,86,11.0,58,336,195,43,729.0,73,Clear
2015-06-10,98,7.0,54,365,223,40,787.0,80,Clear
2015-06-11,152,10.0,46,356,199,36,799.0,65,Rain
2015-06-12,85,17.0,46,390,239,49,826.0,62,"Rain , Thunderstorm"
2015-06-13,85,11.0,50,376,258,31,811.0,71,"Fog , Rain , Thunderstorm"
2015-06-14,67,11.0,47,386,251,32,794.0,76,Rain
